review_text,score
round package beautiful story klonoa literally fight freedom dream freedom deny grouchy emperor suffer chronic insomnia,8
hellish j rpg standard sentence sense poorly write game crap translation english probably,3
mcqueen truly 147;the cool king&#148 way make half asse showing half asse game fledge bummer skip disaster rent tower inferno instead,4
black humor bad joke bucket blood fly rapid fire pace interactive form fan series come wait hollywood act,5
fractured mask write engage episode restore trust batman enemy series time long telltale game interested possible outcome await bruce main character episode,7
imagine fan comic book willing fork kind dough short visit pal magically bring life digital medium,6
metal saga liner possess trait stand current role play crop bulk rpgs decade ago let clunker rust,5
work staggering genius delicate like snowflake rugge like prizefighter face ssx3 demand attention command turn head like hollywood celeb mozeye rochester tesco,7
control mar inaccuracy precise movement easy base simple gameplay mechanic amazingly frustrating change direction exercise frustration,4
plague number problem average nature gameplay fur fighter ps2 attempt invest new life game well year dreamcast original want play year&#146;s game today well fur fighter,4
