review_text,score
load blood body part fly beginning end game despite error game look decent play fine know play hour want stop game action gamer,5
bar music game irrefutably raise like magic gamer transform musician provide run scream hill sight barre chord,7
turn forza horizon 5 impress way game mile edge seat relentlessly gorgeous world suspect will long itch jump driver seat favorite car amidst competitive racing field forza horizon 5 finely tune supercar,9
sexy brutale repetitive nature bog clever title tequila work cast character lovably eccentric puzzle consistently rewarding unfortunately sexy brutale confirm overlook flaw time travel relive day repeatedly tedious,6
industry obsess lifelike visual gratuitous violence tear jerk story wattam welcome remedy short live bizarre design joyous cleansing effect grin ear ear,8
lot poor pass regardless quarterback choice poor tackling computer control player hot cold a.i wide open receiver drop ball probably frustrating aspect ncaa 2k3,4
simply play friend sit couch campaign online co op likely love revelation 2 stick rely useless ai far frustrating experience,6
aiming movement difficult track enemy appear typical mission die enemy learn location kill strike fell second enemy,5
criminal girl invite likely title condemn slightly misogynistic undertone truth denounce shoddy game play bland character unambitious level design,3
infectious old school vibe fact deliver ton nerve wrack situation ignore frustration perfect execution sept 2003 p.120,7
