review_text,score
bit yawn end feel like barely good cash environment character largely control scheme dull mini game drag sega superstar tennis,3
episode myst series go respectable fashion offer crave action exhilaration easy ride frankly great surprise,8
rayman rave rabbid 2 cure insomnia improve social skill need find friend replace one want speak force,7
revita dynamic roguelite twin stick 2d action platformer redefine control scheme mind boggle fashion ride,8
look deceive outsider point view metrico+ see bland basic truth fact engage clever create sense melancholy balance moment minor frustration,5
michonne terrible protagonist role unsociable cynical silent mysterious unusual character walk dead squeeze player skin convenient way come life issue#210 p.77,2
hope story building metal gear lore give chance reconnect character care disappoint new character unintereste poorly develop old character practically non existent,3
like zombie banoi absolutely starve fresh meat riptide case leave familiar heartburn bad taste gullet,2
come expect groundbreake technically refine harbor grudge cute platform creature world want check raze hell satiate urge,7
outmatch cunning opponent solve complex puzzle game scratch itch base primal help smile eviscerate saccharine enemy gorge bloody entrail,8
