review_text,score
collect clue investigate case lot fun investigation stop action start turn leave heart cut open like gutted fish,7
die hard fan real life motorcycle racing championship doubt interested game personality prototype bike track fun end overall functional unexciting trip race,6
patient motorcycle simulation fan past suzuki tt superbike quirk appreciate authenticity shy away game single track format twitchy handling claustrophobic environment,7
realise financially unrealistic expect property offbeat niche hellboy benefit ambitious game design stop wish let blizzard loose character instance,5
stylish time entertaining carnage mind know weirdo designer suda 51 bring new table bizarre aesthetic suit issue#234,6
ultimately need know buck buy videogame equivalent bag cheeto porno mag cheeto zombie naked people drive car flamethrower attach,3
suppose mature age patience endure yelling whining little girl english japanese strategist will happy,4
fuzion frenzy 2 ask plan edition game need complete gutting stitch people want play,6
sheer scale cosmetic surgery resurrect mind boggling exactly promise time 20 year old gameplay trope raise question especially convenience modern action rpgs,7
valkyria revolution game wrong way wonder end way cutscene way long story bland frustrating,4

