review_text,score
fuzion frenzy 2 terrible desperate simple safe party game fit bill unfortunately fit bill lackluster manner hard bother,3
calling total failure fan japanese horror genre like game wait price drop gamer find game creepy one allow play child age,2
tear hand age empire remember atmosphere spirit intact hand despite refresh graphic simply old game sentiment drive factor 04/2018 p.61,5
allow feel like armoured avenger iron man videogame outing merely offer chance lurch awkwardly sky like drunken wasp hold button blow stuff,4
stock animation generate a.i move redundant theme exacerbate gameplay despite change environment differ mission mission,3
couple quid suggest people think give punt jab probably remain small passionate boxing own vita niche,5
riptide judder frame rate buggy environment unwieldy frame rate buggy environment unwieldy collision detection plague predecessor make feel handle like long piece dlc issue#135 p.110,2
ps2 owner psp 360 heartbeat know get wear hand down ps2 owner psp 360 stick game platform,4
simple clean straightforward bland neopet baked potato fixing bed blanket cake frost chair cushion minimalist action adventure,4
game boast 40 different ducati motorcycle span length company storied existence world war ii ducati world racing challenge severely hamper poor control obsolete graphic bad sound,3
