review_text,score
personally fun return arm despite flaw end will spoil 20 hour expect anticlimax end journey,6
vampire masquerade bloodhunt turn vampire pro con formula battle royale offer different proposal know fight street rooftop prague appeal game,7
lot interesting fodder point dark energy well run clean slate instead essentially patch patch curious tolerate low point run step kate shoe xbla need lace,5
drome racer control frustratingly floaty rollcage car floaty hover inch ground instead maintain contact terra droma,4
revita overlook especially fan genre thing feel perfectly balanced combat satisfy platforming smooth relic lot run fresh health currency come revita sing,8
forbidden art remind old 99p bargain bin game drab colour palette annoying music half bake combat platforme element enjoyable overall package chore joy play,3
vehicle silly propensity flip upside 20 mph stupid proportional gaffe abound like dune buggy able muscle suv cliff insane,4
exercise immense frustration painful tedium work feel stupid sentence point manifest correct semiotic indicator person shoot mow literally hundred baddie big metal gun,3
big problem evil dead regeneration simple fun rise way evil dead fan hope comedy horror genre fan expect,6
purist decry change majora mask matter slight seat firmly change good camp remember boredom frustration relate passage time,3
