review_text,score
diablo ii resurrect present good version timer benefit patch update receive blizzard early century stuff help fine tune great game turn stand test time,9
odd give overhaul game team ninja fit localize voiceover luckily english subtitle help understand go pre post fight,6
nasty stale visual gamecube game fuzzy flat funky dark legacy food find pub friday touch monday tuesday wednesday thursday,3
air freshness work way fall flat dead king likely reignite love assassin creed certainly will extinguish exist flame,4
need story reason beautiful art style unique character eye chance special instead feel like walk past beautiful painting blink eye,8
rare adult possess constitution fleetness foot stand enjoyable confused confound minute ddr especially disney tv brand version rise esteem spectator sport,6
know combaticon form bruticus see robot change car outside shia labeouf movie hard love fun action shooter high moon studio,7
course music discuss awesome fight music pipe pa loudspeaker radio station britain begin viva la revolution,5
incredibly desperate sidescroller blade kitten waste handful hour scratch itch sure leave play consider open wallet,3
wii make walk thin line game iron blatant bug second freeze occur constantly general play obvious make quick stack cash put real effort package,2
